rok;mesic;sezona;druh;pocet
1976;12;1976/1977;celkem;0
1977;02;1976/1977;celkem;14
1976;12;1976/1977;Myotis nattereri;0
1977;02;1976/1977;Myotis nattereri;9
1976;12;1976/1977;Myotis daubentonii;0
1977;02;1976/1977;Myotis daubentonii;0
1976;12;1976/1977;Myotis myotis;0
1977;02;1976/1977;Myotis myotis;2
1976;12;1976/1977;Plecotus auritus;0
1977;02;1976/1977;Plecotus auritus;1
1976;12;1976/1977;Myotis mystacinus;0
1977;02;1976/1977;Myotis mystacinus;2
1976;12;1976/1977;Myotis brandtii;0
1977;02;1976/1977;Myotis brandtii;0
1976;12;1976/1977;Barbastella barbastellus;0
1977;02;1976/1977;Barbastella barbastellus;0
1976;12;1976/1977;Eptesicus serotinus;0
1977;02;1976/1977;Eptesicus serotinus;0
1976;12;1976/1977;Myotis emarginatus;0
1977;02;1976/1977;Myotis emarginatus;0
1976;12;1976/1977;Myotis bechsteinii;0
1977;02;1976/1977;Myotis bechsteinii;0
1977;12;1977/1978;celkem;18
1978;02;1977/1978;celkem;0
1977;12;1977/1978;Myotis nattereri;8
1978;02;1977/1978;Myotis nattereri;0
1977;12;1977/1978;Myotis daubentonii;3
1978;02;1977/1978;Myotis daubentonii;0
1977;12;1977/1978;Myotis myotis;3
1978;02;1977/1978;Myotis myotis;0
1977;12;1977/1978;Plecotus auritus;3
1978;02;1977/1978;Plecotus auritus;0
1977;12;1977/1978;Myotis mystacinus;0
1978;02;1977/1978;Myotis mystacinus;0
1977;12;1977/1978;Myotis brandtii;0
1978;02;1977/1978;Myotis brandtii;0
1977;12;1977/1978;Barbastella barbastellus;1
1978;02;1977/1978;Barbastella barbastellus;0
1977;12;1977/1978;Eptesicus serotinus;0
1978;02;1977/1978;Eptesicus serotinus;0
1977;12;1977/1978;Myotis emarginatus;0
1978;02;1977/1978;Myotis emarginatus;0
1977;12;1977/1978;Myotis bechsteinii;0
1978;02;1977/1978;Myotis bechsteinii;0
1978;12;1978/1979;celkem;0
1979;02;1978/1979;celkem;15
1978;12;1978/1979;Myotis nattereri;0
1979;02;1978/1979;Myotis nattereri;10
1978;12;1978/1979;Myotis daubentonii;0
1979;02;1978/1979;Myotis daubentonii;1
1978;12;1978/1979;Myotis myotis;0
1979;02;1978/1979;Myotis myotis;2
1978;12;1978/1979;Plecotus auritus;0
1979;02;1978/1979;Plecotus auritus;2
1978;12;1978/1979;Myotis mystacinus;0
1979;02;1978/1979;Myotis mystacinus;0
1978;12;1978/1979;Myotis brandtii;0
1979;02;1978/1979;Myotis brandtii;0
