rok;mesic;sezona;druh;pocet
1977;02;1976/1977;Myotis nattereri;9
1977;02;1976/1977;Myotis daubentonii;0
1977;02;1976/1977;Myotis myotis;2
1977;02;1976/1977;Plecotus auritus;1
1977;02;1976/1977;Barbastella barbastellus;0
1978;02;1977/1978;Myotis nattereri;0
1978;02;1977/1978;Myotis daubentonii;0
1978;02;1977/1978;Myotis myotis;0
1978;02;1977/1978;Plecotus auritus;0
1978;02;1977/1978;Barbastella barbastellus;0
1979;02;1978/1979;Myotis nattereri;10
1979;02;1978/1979;Myotis daubentonii;1
1979;02;1978/1979;Myotis myotis;2
1979;02;1978/1979;Plecotus auritus;2
1979;02;1978/1979;Barbastella barbastellus;0
1980;02;1979/1980;Myotis nattereri;7
1980;02;1979/1980;Myotis daubentonii;1
1980;02;1979/1980;Myotis myotis;2
1980;02;1979/1980;Plecotus auritus;0
1980;02;1979/1980;Barbastella barbastellus;1
1981;02;1980/1981;Myotis nattereri;3
1981;02;1980/1981;Myotis daubentonii;0
1981;02;1980/1981;Myotis myotis;5
1981;02;1980/1981;Plecotus auritus;2
1981;02;1980/1981;Barbastella barbastellus;0
1982;02;1981/1982;Myotis nattereri;16
1982;02;1981/1982;Myotis daubentonii;4
1982;02;1981/1982;Myotis myotis;3
1982;02;1981/1982;Plecotus auritus;4
1982;02;1981/1982;Barbastella barbastellus;2
1983;02;1982/1983;Myotis nattereri;15
1983;02;1982/1983;Myotis daubentonii;2
1983;02;1982/1983;Myotis myotis;2
1983;02;1982/1983;Plecotus auritus;1
1983;02;1982/1983;Barbastella barbastellus;0
1984;02;1983/1984;Myotis nattereri;31
1984;02;1983/1984;Myotis daubentonii;12
1984;02;1983/1984;Myotis myotis;2
1984;02;1983/1984;Plecotus auritus;3
1984;02;1983/1984;Barbastella barbastellus;1
1985;02;1984/1985;Myotis nattereri;50
1985;02;1984/1985;Myotis daubentonii;3
1985;02;1984/1985;Myotis myotis;5
1985;02;1984/1985;Plecotus auritus;2
1985;02;1984/1985;Barbastella barbastellus;2
1986;02;1985/1986;Myotis nattereri;21
1986;02;1985/1986;Myotis daubentonii;1
1986;02;1985/1986;Myotis myotis;1
1986;02;1985/1986;Plecotus auritus;1
1986;02;1985/1986;Barbastella barbastellus;0
1987;02;1986/1987;Myotis nattereri;5
1987;02;1986/1987;Myotis daubentonii;5
1987;02;1986/1987;Myotis myotis;1
1987;02;1986/1987;Plecotus auritus;1
1987;02;1986/1987;Barbastella barbastellus;0
1988;02;1987/1988;Myotis nattereri;23
1988;02;1987/1988;Myotis daubentonii;3
1988;02;1987/1988;Myotis myotis;3
1988;02;1987/1988;Plecotus auritus;1
1988;02;1987/1988;Barbastella barbastellus;0
1989;02;1988/1989;Myotis nattereri;73
1989;02;1988/1989;Myotis daubentonii;9
1989;02;1988/1989;Myotis myotis;8
1989;02;1988/1989;Plecotus auritus;16
1989;02;1988/1989;Barbastella barbastellus;0
1990;02;1989/1990;Myotis nattereri;54
1990;02;1989/1990;Myotis daubentonii;14
1990;02;1989/1990;Myotis myotis;11
1990;02;1989/1990;Plecotus auritus;13
1990;02;1989/1990;Barbastella barbastellus;0
1991;02;1990/1991;Myotis nattereri;33
1991;02;1990/1991;Myotis daubentonii;4
1991;02;1990/1991;Myotis myotis;12
1991;02;1990/1991;Plecotus auritus;2
1991;02;1990/1991;Barbastella barbastellus;2
1992;02;1991/1992;Myotis nattereri;31
1992;02;1991/1992;Myotis daubentonii;10
1992;02;1991/1992;Myotis myotis;12
1992;02;1991/1992;Plecotus auritus;14
1992;02;1991/1992;Barbastella barbastellus;1
1993;02;1992/1993;Myotis nattereri;47
1993;02;1992/1993;Myotis daubentonii;6
1993;02;1992/1993;Myotis myotis;15
1993;02;1992/1993;Plecotus auritus;10
1993;02;1992/1993;Barbastella barbastellus;0
1994;02;1993/1994;Myotis nattereri;57
1994;02;1993/1994;Myotis daubentonii;9
1994;02;1993/1994;Myotis myotis;16
1994;02;1993/1994;Plecotus auritus;16
1994;02;1993/1994;Barbastella barbastellus;0
1995;02;1994/1995;Myotis nattereri;46
1995;02;1994/1995;Myotis daubentonii;6
1995;02;1994/1995;Myotis myotis;4
1995;02;1994/1995;Plecotus auritus;11
1995;02;1994/1995;Barbastella barbastellus;0
1996;02;1995/1996;Myotis nattereri;24
1996;02;1995/1996;Myotis daubentonii;2
1996;02;1995/1996;Myotis myotis;6
1996;02;1995/1996;Plecotus auritus;5
1996;02;1995/1996;Barbastella barbastellus;1
1997;02;1996/1997;Myotis nattereri;30
1997;02;1996/1997;Myotis daubentonii;7
1997;02;1996/1997;Myotis myotis;15
1997;02;1996/1997;Plecotus auritus;5
1997;02;1996/1997;Barbastella barbastellus;0
1998;02;1997/1998;Myotis nattereri;27
1998;02;1997/1998;Myotis daubentonii;3
1998;02;1997/1998;Myotis myotis;8
1998;02;1997/1998;Plecotus auritus;2
1998;02;1997/1998;Barbastella barbastellus;0
1999;02;1998/1999;Myotis nattereri;35
1999;02;1998/1999;Myotis daubentonii;7
1999;02;1998/1999;Myotis myotis;24
1999;02;1998/1999;Plecotus auritus;20
1999;02;1998/1999;Barbastella barbastellus;0
2000;02;1999/2000;Myotis nattereri;25
2000;02;1999/2000;Myotis daubentonii;7
2000;02;1999/2000;Myotis myotis;18
2000;02;1999/2000;Plecotus auritus;3
2000;02;1999/2000;Barbastella barbastellus;0
2001;02;2000/2001;Myotis nattereri;38
2001;02;2000/2001;Myotis daubentonii;6
2001;02;2000/2001;Myotis myotis;21
2001;02;2000/2001;Plecotus auritus;7
2001;02;2000/2001;Barbastella barbastellus;0
2002;02;2001/2002;Myotis nattereri;49
2002;02;2001/2002;Myotis daubentonii;8
2002;02;2001/2002;Myotis myotis;25
2002;02;2001/2002;Plecotus auritus;9
2002;02;2001/2002;Barbastella barbastellus;0
2003;02;2002/2003;Myotis nattereri;65
2003;02;2002/2003;Myotis daubentonii;3
2003;02;2002/2003;Myotis myotis;32
2003;02;2002/2003;Plecotus auritus;13
2003;02;2002/2003;Barbastella barbastellus;0
2004;02;2003/2004;Myotis nattereri;44
2004;02;2003/2004;Myotis daubentonii;3
2004;02;2003/2004;Myotis myotis;22
2004;02;2003/2004;Plecotus auritus;7
2004;02;2003/2004;Barbastella barbastellus;2
2005;02;2004/2005;Myotis nattereri;42
2005;02;2004/2005;Myotis daubentonii;7
2005;02;2004/2005;Myotis myotis;28
2005;02;2004/2005;Plecotus auritus;9
2005;02;2004/2005;Barbastella barbastellus;2
2006;02;2005/2006;Myotis nattereri;40
2006;02;2005/2006;Myotis daubentonii;15
2006;02;2005/2006;Myotis myotis;33
2006;02;2005/2006;Plecotus auritus;9
2006;02;2005/2006;Barbastella barbastellus;6
2007;02;2006/2007;Myotis nattereri;60
2007;02;2006/2007;Myotis daubentonii;22
2007;02;2006/2007;Myotis myotis;30
2007;02;2006/2007;Plecotus auritus;27
2007;02;2006/2007;Barbastella barbastellus;5
2008;02;2007/2008;Myotis nattereri;79
2008;02;2007/2008;Myotis daubentonii;25
2008;02;2007/2008;Myotis myotis;49
2008;02;2007/2008;Plecotus auritus;25
2008;02;2007/2008;Barbastella barbastellus;3
2009;02;2008/2009;Myotis nattereri;54
2009;02;2008/2009;Myotis daubentonii;14
2009;02;2008/2009;Myotis myotis;30
2009;02;2008/2009;Plecotus auritus;13
2009;02;2008/2009;Barbastella barbastellus;8
2010;02;2009/2010;Myotis nattereri;28
2010;02;2009/2010;Myotis daubentonii;7
2010;02;2009/2010;Myotis myotis;42
2010;02;2009/2010;Plecotus auritus;18
2010;02;2009/2010;Barbastella barbastellus;11
2011;02;2010/2011;Myotis nattereri;24
2011;02;2010/2011;Myotis daubentonii;12
2011;02;2010/2011;Myotis myotis;37
2011;02;2010/2011;Plecotus auritus;11
2011;02;2010/2011;Barbastella barbastellus;7
2012;02;2011/2012;Myotis nattereri;25
2012;02;2011/2012;Myotis daubentonii;6
2012;02;2011/2012;Myotis myotis;36
2012;02;2011/2012;Plecotus auritus;4
2012;02;2011/2012;Barbastella barbastellus;4
2013;02;2012/2013;Myotis nattereri;18
2013;02;2012/2013;Myotis daubentonii;5
2013;02;2012/2013;Myotis myotis;38
2013;02;2012/2013;Plecotus auritus;9
2013;02;2012/2013;Barbastella barbastellus;7
2014;02;2013/2014;Myotis nattereri;28
2014;02;2013/2014;Myotis daubentonii;7
2014;02;2013/2014;Myotis myotis;50
2014;02;2013/2014;Plecotus auritus;7
2014;02;2013/2014;Barbastella barbastellus;5
2015;02;2014/2015;Myotis nattereri;38
2015;02;2014/2015;Myotis daubentonii;7
2015;02;2014/2015;Myotis myotis;55
2015;02;2014/2015;Plecotus auritus;14
2015;02;2014/2015;Barbastella barbastellus;9
2016;02;2015/2016;Myotis nattereri;17
2016;02;2015/2016;Myotis daubentonii;8
2016;02;2015/2016;Myotis myotis;48
2016;02;2015/2016;Plecotus auritus;8
2016;02;2015/2016;Barbastella barbastellus;9
2017;02;2016/2017;Myotis nattereri;51
2017;02;2016/2017;Myotis daubentonii;18
2017;02;2016/2017;Myotis myotis;60
2017;02;2016/2017;Plecotus auritus;15
2017;02;2016/2017;Barbastella barbastellus;12
2018;02;2017/2018;Myotis nattereri;32
2018;02;2017/2018;Myotis daubentonii;3
2018;02;2017/2018;Myotis myotis;55
2018;02;2017/2018;Plecotus auritus;3
2018;02;2017/2018;Barbastella barbastellus;6
2019;02;2018/2019;Myotis nattereri;21
2019;02;2018/2019;Myotis daubentonii;5
2019;02;2018/2019;Myotis myotis;35
2019;02;2018/2019;Plecotus auritus;6
2019;02;2018/2019;Barbastella barbastellus;8
2020;02;2019/2020;Myotis nattereri;25
2020;02;2019/2020;Myotis daubentonii;6
2020;02;2019/2020;Myotis myotis;32
2020;02;2019/2020;Plecotus auritus;9
2020;02;2019/2020;Barbastella barbastellus;12
2021;02;2020/2021;Myotis nattereri;49
2021;02;2020/2021;Myotis daubentonii;26
2021;02;2020/2021;Myotis myotis;32
2021;02;2020/2021;Plecotus auritus;12
2021;02;2020/2021;Barbastella barbastellus;15
2022;02;2021/2022;Myotis nattereri;26
2022;02;2021/2022;Myotis daubentonii;6
2022;02;2021/2022;Myotis myotis;37
2022;02;2021/2022;Plecotus auritus;5
2022;02;2021/2022;Barbastella barbastellus;2
2023;02;2022/2023;Myotis nattereri;14
2023;02;2022/2023;Myotis daubentonii;13
2023;02;2022/2023;Myotis myotis;49
2023;02;2022/2023;Plecotus auritus;6
2023;02;2022/2023;Barbastella barbastellus;5
2024;02;2023/2024;Myotis nattereri;23
2024;02;2023/2024;Myotis daubentonii;6
2024;02;2023/2024;Myotis myotis;36
2024;02;2023/2024;Plecotus auritus;6
2024;02;2023/2024;Barbastella barbastellus;0
2025;02;2024/2025;Myotis nattereri;28
2025;02;2024/2025;Myotis daubentonii;6
2025;02;2024/2025;Myotis myotis;47
2025;02;2024/2025;Plecotus auritus;8
2025;02;2024/2025;Barbastella barbastellus;6
