druh;.groups;coef;p.value;adj.R2;trend
Barbastella barbastellus;drop;0,097836887564014263;8,99783264851750e-06;0,17801786068229186;positive
Eptesicus serotinus;drop;0,016382582995745101;5,64556973246987e-03;0,06746040844991730;positive
Myotis bechsteinii;drop;0,009223164921399258;2,14452283523929e-02;0,04403151226754853;positive
Myotis brandtii;drop;-0,002369487120690965;5,47845978150078e-02;0,02786484000262801;no trend
Myotis daubentonii;drop;0,067670513898443474;7,81601173440069e-02;0,02188286445014964;no trend
Myotis emarginatus;drop;0,000280261917501084;6,99643254993034e-01;-0,00884311277569716;no trend
Myotis myotis;drop;0,567352034446737430;4,72657352993132e-07;0,22530146380372262;positive
Myotis mystacinus;drop;-0,006369589034115518;8,39068934426326e-03;0,06048284031950391;negative
Myotis nattereri;drop;0,078396901831895016;5,75860201724471e-01;-0,00711077182425335;no trend
Plecotus auritus;drop;0,035389436673546125;4,32275992854382e-01;-0,00391293086912281;no trend
celkem;drop;0,863792708094475392;6,03304639034203e-03;0,06629107902428633;positive
